sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
30	2026-09-23T15:16:13.809925811Z	30001	26	151	3	2	1	4	0.000	67	0.000	12686	24.008	11150	22.007	568	0.000	0	0.000	1	0.000	575790586	25524.252	16527972	32252.427	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	587	2.001	0	0.000	0.000	1	0.000	4	0	0.000
31	2026-09-23T15:16:14.81012201Z	31001	26	151	3	2	1	4	0.000	67	0.000	12708	21.996	11171	20.996	568	0.000	0	0.000	1	0.000	575815454	24863.122	16559223	31244.870	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	588	1.000	0	0.000	0.000	1	0.000	4	0	0.000
32	2026-09-23T15:16:15.810181459Z	32001	26	151	3	2	1	4	0.000	67	0.000	12730	21.999	11192	20.999	568	0.000	0	0.000	1	0.000	575840322	24866.521	16590474	31249.142	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	589	1.000	0	0.000	0.000	1	0.000	4	0	0.000
33	2026-09-23T15:16:16.810043511Z	33001	26	151	3	2	1	4	0.000	67	0.000	12752	22.003	11213	21.003	568	0.000	0	0.000	1	0.000	575865190	24871.431	16621725	31255.312	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	590	1.000	0	0.000	0.000	1	0.000	4	0	0.000
34	2026-09-23T15:16:17.810179776Z	34001	26	151	3	2	1	4	0.000	67	0.000	12774	21.997	11234	20.997	568	0.000	0	0.000	1	0.000	575890058	24864.612	16652976	31246.743	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	591	1.000	0	0.000	0.000	1	0.000	4	0	0.000
35	2026-09-23T15:16:18.810402732Z	35001	26	151	3	2	1	4	0.000	67	0.000	12796	21.995	11255	20.995	568	0.000	0	0.000	1	0.000	575914926	24862.456	16684227	31244.033	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	592	1.000	0	0.000	0.000	1	0.000	4	0	0.000
36	2026-09-23T15:16:19.810559483Z	36001	26	151	3	2	1	4	0.000	67	0.000	12818	21.997	11276	20.997	568	0.000	0	0.000	1	0.000	575939794	24864.103	16715478	31246.102	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	593	1.000	0	0.000	0.000	1	0.000	4	0	0.000
37	2026-09-23T15:16:20.810404872Z	37001	26	151	3	2	1	4	0.000	67	0.000	12840	22.003	11297	21.003	568	0.000	0	0.000	1	0.000	575964662	24871.845	16746729	31255.832	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	594	1.000	0	0.000	0.000	1	0.000	4	0	0.000
38	2026-09-23T15:16:21.810556325Z	38001	26	151	3	2	1	4	0.000	67	0.000	12862	21.997	11318	20.997	568	0.000	0	0.000	1	0.000	575989530	24864.234	16777980	31246.268	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	595	1.000	0	0.000	0.000	1	0.000	4	0	0.000
39	2026-09-23T15:16:22.810820942Z	39001	26	151	3	2	1	4	0.000	67	0.000	12884	21.994	11339	20.994	568	0.000	0	0.000	1	0.000	576014398	24861.421	16809231	31242.733	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	596	1.000	0	0.000	0.000	1	0.000	4	0	0.000
40	2026-09-23T15:16:23.810542809Z	40001	26	151	3	2	1	4	0.000	67	0.000	12908	24.007	11361	22.006	568	0.000	0	0.000	1	0.000	576039914	25523.099	16841473	32250.970	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	598	2.001	0	0.000	0.000	1	0.000	4	0	0.000
