schema_name	digest	count	sum_time_sec	max_time_sec	sum_lock_sec	avg_lock_sec	rows_examined	rows_sent	rows_affected	no_index_used	no_good_index_used	tmp_disk_tables	tmp_tables	sort_merge_passes	errors	digest_text
isucon	5d30aced9ce4c62552551893ad377ca67381352639a5fedb048288822289b6e1	380	0.367046	0.01629	0.000922	0.000002426	0	0	1140	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	3183e23ce54d05b8c7d23849e10b130bd2963926dc10f6bbeea2c0c2e9bddce6	18	0.306037	0.148077	0.00003	0.000001667	0	0	342	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	a5a4901fafb140bdb22318ff4d37780efe693c86473917910fc544c792641005	21	0.286054	0.04672	0.000026	0.000001238	0	0	273	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	4d69bb28b39560678da48c84af4f2d694058fd89a5483deceb2af42d2e2891f1	1	0.271429	0.271429	0	0	0	0	10332	0	0	0	0	0	0	INSERT INTO `user_decks` VALUES (...) /* , ... */
isucon	d031654d5898e8b25a4ca56c70ed975e999461699dc1ab761878bbb0c771d804	2	0.264037	0.261627	0	0	0	0	13665	0	0	0	0	0	0	INSERT INTO `users` VALUES (...) /* , ... */
isucon	79117b68ba82cec22b0a9291048871a1c07258d055f58ed0814f9a5487e0b7c2	29	0.25577	0.031569	0.000618	0.00002131	0	0	435	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	459e3d41ae6f63dcd8f71fcf1e534b4ecd21af082edb30638a5204e558e67467	15	0.238873	0.036849	0.000018	0.0000012	0	0	315	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	e9c6c00914279e014a0370eb4b14035727a4d930a29f3e4f35f97afdcd276840	172	0.209977	0.024638	0.002454	0.000014267	0	0	688	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	3a21ba323ddbf6bf3827d8675a67dbb84cb56141c55853e65c5278e53544a0ab	24	0.169525	0.04836	0.000033	0.000001375	0	0	216	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
isucon	3009838e0490ca957b1f1aed262872e3a80cef867a73df631d8c5e87ffdb1ee2	7	0.169117	0.080855	0.000008	0.000001143	0	0	182	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
